year,class,item,emirate,nationality,value
2005,5 star,guests,sharjah,India,12309
2005,5 star,nights,sharjah,India,30656
2005,4 star,guests,sharjah,India,10943
2005,4star,nights,sharjah,India,24053
2005,3 star,guests,sharjah,India,2186
2005,3 star,nights,sharjah,India,13108
2005,2 star,guests,sharjah,India,1921
2005,2 star,nights,sharjah,India,14499
2005,5 star,guests,Ajman,India,669
2005,5 star,nights,Ajman,India,744
2005,4 star,guests,Ajman,India,2030
2005,4star,nights,Ajman,India,4181
2005,3 star,guests,Ajman,India,-
2005,3 star,nights,Ajman,India,-
2005,2 star,guests,Ajman,India,2938
2005,2 star,nights,Ajman,India,28674
2005,5 star,guests,Ras Al Khaima & Fujeira,India,1474
2005,5 star,nights,Ras Al Khaima & Fujeira,India,2869
2005,4 star,guests,Ras Al Khaima & Fujeira,India,6290
2005,4star,nights,Ras Al Khaima & Fujeira,India,11047
2005,3 star,guests,Ras Al Khaima & Fujeira,India,3132
2005,3 star,nights,Ras Al Khaima & Fujeira,India,7172
2005,2 star,guests,Ras Al Khaima & Fujeira,India,-
2005,2 star,nights,Ras Al Khaima & Fujeira,India,-
2004,5 star,guests,abu dhabi,India,13678
2004,5 star,nights,abu dhabi,India,22166
2004,4 star,guests,abu dhabi,India,36203
2004,4star,nights,abu dhabi,India,102904
2004,3 star,guests,abu dhabi,India,2438
2004,3 star,nights,abu dhabi,India,3873
2004,2 star,guests,abu dhabi,India,-
2004,2 star,nights,abu dhabi,India,-
2004,5 star,guests,dubai,India,38812
2004,5 star,nights,dubai,India,80004
2004,4 star,guests,dubai,India,60804
2004,4star,nights,dubai,India,113886
2004,3 star,guests,dubai,India,142038
2004,3 star,nights,dubai,India,355832
2004,2 star,guests,dubai,India,33440
2004,2 star,nights,dubai,India,107143
2004,5 star,guests,sharjah,India,10887
2004,5 star,nights,sharjah,India,17370
2004,4 star,guests,sharjah,India,3024
2004,4star,nights,sharjah,India,10210
2004,3 star,guests,sharjah,India,1838
2004,3 star,nights,sharjah,India,9010
2004,2 star,guests,sharjah,India,1896
2004,2 star,nights,sharjah,India,12195
2004,5 star,guests,Ajman and Umm Al-Qiwain,India,531
2004,5 star,nights,Ajman and Umm Al-Qiwain,India,996
2004,4 star,guests,Ajman and Umm Al-Qiwain,India,-
2004,4star,nights,Ajman and Umm Al-Qiwain,India,-
2004,3 star,guests,Ajman and Umm Al-Qiwain,India,-
2004,3 star,nights,Ajman and Umm Al-Qiwain,India,-
2004,2 star,guests,Ajman and Umm Al-Qiwain,India,1068
2004,2 star,nights,Ajman and Umm Al-Qiwain,India,16543
2004,5 star,guests,Ras Al Khaima & Fujeira,India,1146
2004,5 star,nights,Ras Al Khaima & Fujeira,India,2510
2004,4 star,guests,Ras Al Khaima & Fujeira,India,6284
2004,4star,nights,Ras Al Khaima & Fujeira,India,9725
2004,3 star,guests,Ras Al Khaima & Fujeira,India,2527
2004,3 star,nights,Ras Al Khaima & Fujeira,India,8034
2004,2 star,guests,Ras Al Khaima & Fujeira,India,-
2004,2 star,nights,Ras Al Khaima & Fujeira,India,-
2003,5 star,guests,abu dhabi,India,14599
2003,5 star,nights,abu dhabi,India,23068
2003,4 star,guests,abu dhabi,India,30153
2003,4star,nights,abu dhabi,India,99810
2003,3 star,guests,abu dhabi,India,1567
2003,3 star,nights,abu dhabi,India,2632
2003,2 star,guests,abu dhabi,India,0
2003,2 star,nights,abu dhabi,India,0
2003,5 star,guests,dubai,India,41206
2003,5 star,nights,dubai,India,86209
2003,4 star,guests,dubai,India,61878
2003,4star,nights,dubai,India,104488
2003,3 star,guests,dubai,India,139693
2003,3 star,nights,dubai,India,304399
2003,2 star,guests,dubai,India,30742
2003,2 star,nights,dubai,India,93418
2003,5 star,guests,sharjah,India,9541
2003,5 star,nights,sharjah,India,16497
2003,4 star,guests,sharjah,India,8048
2003,4star,nights,sharjah,India,21285
2003,3 star,guests,sharjah,India,2831
2003,3 star,nights,sharjah,India,6272
2003,2 star,guests,sharjah,India,1203
